reactor,run,echem,rep,minutes,E,t,electrode,current,exp
transfer,1,GC,1,954.3666666666667,-0.302,101.00018,i1,3.591509e-7,1
transfer,1,GC,1,954.3666666666667,-0.303,101.33352,i1,3.597404e-7,1
transfer,1,GC,1,954.3666666666667,-0.304,101.66685,i1,3.6024267e-7,1
transfer,1,GC,1,954.3666666666667,-0.305,102.00019,i1,3.6076301e-7,1
transfer,1,GC,1,954.3666666666667,-0.306,102.33353,i1,3.6138914e-7,1
transfer,1,GC,1,954.3666666666667,-0.307,102.66686,i1,3.6169718e-7,1
transfer,1,GC,1,954.3666666666667,-0.308,103.0002,i1,3.6213231e-7,1
transfer,1,GC,1,954.3666666666667,-0.309,103.33353,i1,3.6259325e-7,1
transfer,1,GC,1,954.3666666666667,-0.31,103.66687,i1,3.6291695e-7,1
transfer,1,GC,1,954.3666666666667,-0.311,104.00021,i1,3.6318389e-7,1
transfer,1,GC,1,954.3666666666667,-0.312,104.33354,i1,3.6353651e-7,1
transfer,1,GC,1,954.3666666666667,-0.313,104.66688,i1,3.6375926e-7,1
transfer,1,GC,1,954.3666666666667,-0.314,105.00021,i1,3.6420053e-7,1
transfer,1,GC,1,954.3666666666667,-0.315,105.33355,i1,3.6422216e-7,1
transfer,1,GC,1,954.3666666666667,-0.316,105.66689,i1,3.6444345e-7,1
transfer,1,GC,1,954.3666666666667,-0.317,106.00022,i1,3.6458016e-7,1
transfer,1,GC,1,954.3666666666667,-0.318,106.33356,i1,3.6471005e-7,1
