reactor,run,echem,rep,minutes,E,electrode,current,exp
transfer,1,SWV,0,951.75,-0.003,i1,1.3136574e-7,1
transfer,1,SWV,0,951.75,-0.004,i1,1.1454512e-7,1
transfer,1,SWV,0,951.75,-0.005,i1,1.3778066e-7,1
transfer,1,SWV,0,951.75,-0.006,i1,1.3276745e-7,1
transfer,1,SWV,0,951.75,-0.007,i1,1.0925157e-7,1
transfer,1,SWV,0,951.75,-0.008,i1,1.3545545e-7,1
transfer,1,SWV,0,951.75,-0.009,i1,1.0587095e-7,1
transfer,1,SWV,0,951.75,-0.01,i1,1.2768828e-7,1
transfer,1,SWV,0,951.75,-0.011,i1,1.1805766e-7,1
transfer,1,SWV,0,951.75,-0.012,i1,1.2439013e-7,1
transfer,1,SWV,0,951.75,-0.013,i1,1.4071601e-7,1
transfer,1,SWV,0,951.75,-0.014,i1,1.0334786e-7,1
transfer,1,SWV,0,951.75,-0.015,i1,1.2821599e-7,1
transfer,1,SWV,0,951.75,-0.016,i1,1.1358865e-7,1
transfer,1,SWV,0,951.75,-0.017,i1,1.2570939e-7,1
transfer,1,SWV,0,951.75,-0.018,i1,1.2424171e-7,1
transfer,1,SWV,0,951.75,-0.019,i1,1.1271463e-7,1
transfer,1,SWV,0,951.75,-0.02,i1,1.3121731e-7,1
transfer,1,SWV,0,951.75,-0.021,i1,1.0196263e-7,1
transfer,1,SWV,0,951.75,-0.022,i1,1.3583474e-7,1
transfer,1,SWV,0,951.75,-0.023,i1,1.1654051e-7,1
transfer,1,SWV,0,951.75,-0.024,i1,1.2257614e-7,1
transfer,1,SWV,0,951.75,-0.025,i1,1.2974964e-7,1
transfer,1,SWV,0,951.75,-0.026,i1,1.0987821e-7,1
transfer,1,SWV,0,951.75,-0.027,i1,1.280181e-7,1
transfer,1,SWV,0,951.75,-0.028,i1,1.0283664e-7,1
transfer,1,SWV,0,951.75,-0.029,i1,1.3550492e-7,1
transfer,1,SWV,0,951.75,-0.03,i1,1.2295543e-7,1
transfer,1,SWV,0,951.75,-0.031,i1,1.2183405e-7,1
transfer,1,SWV,0,951.75,-0.032,i1,1.323222e-7,1
transfer,1,SWV,0,951.75,-0.033,i1,1.0587095e-7,1
transfer,1,SWV,0,951.75,-0.034,i1,1.3045874e-7,1
transfer,1,SWV,0,951.75,-0.035,i1,1.0649761e-7,1
transfer,1,SWV,0,951.75,-0.036,i1,1.236975e-7,1
transfer,1,SWV,0,951.75,-0.037,i1,1.2386242e-7,1
transfer,1,SWV,0,951.75,-0.038,i1,1.0445275e-7,1
transfer,1,SWV,0,951.75,-0.039,i1,1.2635253e-7,1
transfer,1,SWV,0,951.75,-0.04,i1,1.0130299e-7,1
transfer,1,SWV,0,951.75,-0.041,i1,1.2054777e-7,1
transfer,1,SWV,0,951.75,-0.042,i1,1.2412627e-7,1
transfer,1,SWV,0,951.75,-0.043,i1,1.1909657e-7,1
transfer,1,SWV,0,951.75,-0.044,i1,1.2918895e-7,1
transfer,1,SWV,0,951.75,-0.045,i1,1.0590394e-7,1
transfer,1,SWV,0,951.75,-0.046,i1,1.307061e-7,1
transfer,1,SWV,0,951.75,-0.047,i1,1.1360513e-7,1
transfer,1,SWV,0,951.75,-0.048,i1,1.2458801e-7,1
transfer,1,SWV,0,951.75,-0.049,i1,1.2879316e-7,1
transfer,1,SWV,0,951.75,-0.05,i1,1.1142835e-7,1
transfer,1,SWV,0,951.75,-0.051,i1,1.3651086e-7,1
transfer,1,SWV,0,951.75,-0.052,i1,1.064976e-7,1
