reactor,run,echem,rep,minutes,E_from_maxs,electrode,current_from_maxs,exp,max_current,E_from_mins,current_from_mins,min_current,signal
transfer,3,SWV,8,1156.6833333333334,-0.233,i1,1.9280221e-6,2,1.9280221e-6,-0.389,1.4003165e-6,1.4003165e-6,5.277056e-7
control,transfer,0,NA,890.35,-0.4,i1,1.2746077e-6,2,1.2746077e-6,-0.072,1.0262495e-6,1.0262495e-6,2.483582e-7
soak,1,SWV,0,919.7833333333333,-0.222,i2,6.8383688e-6,2,6.8383688e-6,-0.009,6.5532862e-7,6.5532862e-7,6.1830401799999996e-6
transfer,1,SWV,0,922.9166666666666,-0.216,i2,3.3521951e-6,2,3.3521951e-6,-0.003,6.6469181e-7,6.6469181e-7,2.68750329e-6
transfer,1,SWV,9,948.4833333333333,-0.319,i2,3.3896827e-6,2,3.3896827e-6,-0.001,6.6356506e-7,6.6356506e-7,2.7261176399999997e-6
transfer,1,SWV,10,951.2,-0.316,i2,3.3823028e-6,2,3.3823028e-6,-0.002,6.5840396e-7,6.5840396e-7,2.7238988400000003e-6
transfer,1,SWV,11,953.8833333333333,-0.318,i2,3.3900567e-6,2,3.3900567e-6,-0,6.570537e-7,6.570537e-7,2.733003e-6
transfer,1,SWV,12,956.6,-0.314,i2,3.3284707e-6,2,3.3284707e-6,-0.002,6.6037001e-7,6.6037001e-7,2.66810069e-6
transfer,1,SWV,13,959.3333333333334,-0.314,i2,3.3072845e-6,2,3.3072845e-6,-0,6.5439968e-7,6.5439968e-7,2.65288482e-6
transfer,1,SWV,14,962.0833333333334,-0.316,i2,3.2963503e-6,2,3.2963503e-6,-0.002,6.5041723e-7,6.5041723e-7,2.6459330700000003e-6
transfer,1,SWV,15,964.8333333333334,-0.316,i2,3.3062806e-6,2,3.3062806e-6,-0.001,6.5868517e-7,6.5868517e-7,2.64759543e-6
transfer,1,SWV,1,925.8,-0.324,i2,2.2236648e-6,2,2.2236648e-6,-0.002,6.7600303e-7,6.7600303e-7,1.54766177e-6
transfer,1,SWV,2,928.6166666666667,-0.324,i2,3.0412239e-6,2,3.0412239e-6,-0.002,6.8279394e-7,6.8279394e-7,2.35842996e-6
transfer,1,SWV,3,931.45,-0.331,i2,3.0777103e-6,2,3.0777103e-6,-0.003,6.9128509e-7,6.9128509e-7,2.38642521e-6
transfer,1,SWV,4,934.5166666666667,-0.322,i2,3.3478318e-6,2,3.3478318e-6,-0.004,6.7740791e-7,6.7740791e-7,2.67042389e-6
transfer,1,SWV,5,937.6333333333333,-0.319,i2,3.5109267e-6,2,3.5109267e-6,-0,6.7395729e-7,6.7395729e-7,2.83696941e-6
transfer,1,SWV,6,940.3333333333334,-0.318,i2,3.5160951e-6,2,3.5160951e-6,-0,6.6835707e-7,6.6835707e-7,2.84773803e-6
transfer,1,SWV,7,943.0666666666667,-0.319,i2,3.362275e-6,2,3.362275e-6,-0.001,6.6874946e-7,6.6874946e-7,2.69352554e-6
transfer,1,SWV,8,945.7833333333333,-0.321,i2,3.4087534e-6,2,3.4087534e-6,-0.009,6.6372496e-7,6.6372496e-7,2.74502844e-6
soak,2,SWV,0,987.4833333333333,-0.223,i2,6.2230138e-6,2,6.2230138e-6,-0.015,6.6654616e-7,6.6654616e-7,5.55646764e-6
transfer,2,SWV,0,991.1666666666666,-0.218,i2,4.810945e-6,2,4.810945e-6,-0.012,6.6021909e-7,6.6021909e-7,4.15072591e-6
transfer,2,SWV,9,1016.6166666666667,-0.319,i2,2.9128194e-6,2,2.9128194e-6,-0.006,6.587062e-7,6.587062e-7,2.2541131999999998e-6
transfer,2,SWV,10,1019.7166666666667,-0.322,i2,2.9084597e-6,2,2.9084597e-6,-0.002,6.6576575e-7,6.6576575e-7,2.24269395e-6
transfer,2,SWV,11,1022.4666666666667,-0.317,i2,2.8585873e-6,2,2.8585873e-6,-0.009,6.6056487e-7,6.6056487e-7,2.1980224300000002e-6
transfer,2,SWV,12,1025.2166666666667,-0.317,i2,2.7374972e-6,2,2.7374972e-6,-0.003,6.6438963e-7,6.6438963e-7,2.07310757e-6
transfer,2,SWV,13,1027.9666666666667,-0.318,i2,2.7128071e-6,2,2.7128071e-6,-0.011,6.5625824e-7,6.5625824e-7,2.05654886e-6
transfer,2,SWV,14,1030.5833333333333,-0.315,i2,2.6909179e-6,2,2.6909179e-6,-0.012,6.6279051e-7,6.6279051e-7,2.02812739e-6
transfer,2,SWV,15,1033.3666666666666,-0.316,i2,2.6739363e-6,2,2.6739363e-6,-0.003,6.5258348e-7,6.5258348e-7,2.0213528199999998e-6
transfer,2,SWV,1,994.1166666666667,-0.315,i2,2.8788052e-6,2,2.8788052e-6,-0.003,6.673144e-7,6.673144e-7,2.2114908e-6
transfer,2,SWV,2,997.3666666666667,-0.322,i2,3.147693e-6,2,3.147693e-6,-0.003,6.731093e-7,6.731093e-7,2.4745836999999997e-6
